Game
"NET +0 (Strength +0, Resume +0) Home win: Arkansas vs. N.C. A&T 95-67 (2024-12-21)"
"NET +0 (Strength +0, Resume +0) Home win: Arkansas vs. Central Ark. 82-57 (2024-12-14)"
"NET -1 (Strength -4, Resume +2) Home win: Arkansas vs. UTSA 75-60 (2024-12-07)"
"NET -2 (Strength -4, Resume +0) Home win: Arkansas vs. Pacific 91-72 (2024-11-18)"
"NET -3 (Strength +0, Resume -7) Neutral loss: Arkansas vs. Illinois 77-90 (2024-11-28)"
"NET -3 (Strength +0, Resume -13) Away loss: Arkansas vs. LSU 74-78 (2025-01-14)"
"NET -3 (Strength +0, Resume -13) Neutral loss: Arkansas vs. Baylor 67-72 (2024-11-09)"
"NET -3 (Strength -4, Resume -7) Home loss: Arkansas vs. Florida 63-71 (2025-01-11)"
"NET -3 (Strength -5, Resume +3) Home win: Arkansas vs. Little Rock 79-67 (2024-11-22)"
"NET -3 (Strength -5, Resume +3) Away win: Arkansas vs. Miami (FL) 76-73 (2024-12-03)"
"NET -5 (Strength -5, Resume -3) Away loss: Arkansas vs. Tennessee 52-76 (2025-01-04)"
"NET -5 (Strength -5, Resume -3) Away loss: Arkansas vs. Missouri 65-83 (2025-01-18)"
"NET -6 (Strength -6, Resume -7) Home loss: Arkansas vs. Ole Miss 66-73 (2025-01-08)"
"NET +13 (Strength +10, Resume +26) Away win: Arkansas St. vs. Memphis 85-72 (2024-12-08)"
"NET +10 (Strength +10, Resume +3) Home win: Arkansas St. vs. Coastal Carolina 97-67 (2024-12-21)"
"NET +10 (Strength +8, Resume +15) Away win: Arkansas St. vs. Troy 84-78 (2025-01-11)"
"NET +10 (Strength +7, Resume +11) Away win: Arkansas St. vs. UAB 98-89 (2024-12-15)"
"NET +9 (Strength +10, Resume +0) Away loss: Arkansas St. vs. Alabama 79-88 (2024-11-08)"
"NET +9 (Strength +7, Resume +5) Away win: Arkansas St. vs. Old Dominion 78-59 (2025-01-02)"
"NET +7 (Strength +7, Resume +3) Home win: Arkansas St. vs. Georgia St. 85-59 (2025-01-18)"
"NET +6 (Strength +5, Resume +5) Home win: Arkansas St. vs. Little Rock 80-63 (2024-11-12)"
"NET +4 (Strength +0, Resume +7) Home win: Arkansas St. vs. Akron 80-75 (2024-11-04)"
"NET +0 (Strength -1, Resume +3) Home win: Arkansas St. vs. Louisiana 83-63 (2025-01-16)"
"NET -1 (Strength -3, Resume +6) Neutral win: Arkansas St. vs. Indiana St. 86-81 (2024-11-29)"
"NET -2 (Strength -3, Resume +3) Home win: Arkansas St. vs. SFA 59-49 (2024-11-16)"
"NET -4 (Strength -4, Resume +3) Home win: Arkansas St. vs. UT Arlington 83-79 (2024-12-12)"
